Full Title,Car Name,URL,Price (in Lakhs),Location,City,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine,Transmission,Power,Drive Type,Mileage,Year of Manufacture
2022 Hyundai Venue SX Turbo iMT,Hyundai Venue,https://www.cardekho.com/buy-used-car-details/used-Hyundai-venue-sx-turbo-imt-cars-Chandigarh_d1139244-c33f-46f1-9958-62343e947ce6.htm,7.65,"Industrial Area Phase 1, Chandigarh",Chandigarh,Jul 2022,Third Party,Petrol,5,47014,Chandigarh,First Owner,998,Manual,118.35,FWD,18.0,2022
2021 Maruti S Cross Alpha AT,Maruti S,https://www.cardekho.com/used-car-details/used-Maruti-s-cross-alpha-at-cars-Chandigarh_e66add13-f95e-4e24-8c39-07ae31fdc476.htm?adId=undefined&adType=41,9.0,Chandigarh,Chandigarh,2021,Expired,Petrol,5,30000,Chandigarh,First Owner,1462,Automatic,103.25,FWD,18.43,2021
2020 Ford Ecosport 1.5 Petrol Titanium,Ford Ecosport,https://www.cardekho.com/buy-used-car-details/used-Ford-ecosport-15-petrol-titanium-cars-Chandigarh_7c4a0304-92c7-4a9a-8ac0-5c4e06673947.htm,7.76,"Industrial Area Phase 1, Chandigarh",Chandigarh,Nov 2021,Comprehensive,Petrol,5,41381,Jalandhar,First Owner,1496,Manual,120.69,FWD,15.9,2020
2018 Tata Nexon 1.2 Revotron XM,Tata Nexon,https://www.cardekho.com/buy-used-car-details/used-Tata-nexon-12-revotron-xm-cars-Chandigarh_0e861434-0478-443e-badc-5e61e4f7c9e0.htm,5.3,"Industrial Area Phase 1, Chandigarh",Chandigarh,Sept 2018,Third Party,Petrol,5,48569,Chandigarh,First Owner,1198,Manual,108.5,FWD,17.0,2018
2021 Hyundai Venue SX Turbo iMT,Hyundai Venue,https://www.cardekho.com/buy-used-car-details/used-Hyundai-venue-sx-turbo-imt-cars-Chandigarh_c7f8e284-3431-4dfc-b648-caaa86214add.htm,7.96,"Industrial Area Phase 1, Chandigarh",Chandigarh,Mar 2021,Zero Dep,Petrol,5,41291,Mohali,First Owner,998,Manual,118.35,FWD,18.0,2021
N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017 Toyota Fortuner 2.8 4WD AT BSIV,Toyota Fortuner,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Chandigarh_d85d1ed5-51d6-4c8a-98c1-3a9eda685c39.htm?adId=undefined&adType=41,22.0,Chandigarh,Chandigarh,2017,Expired,Diesel,7,160000,Chandigarh,First Owner,2755,Automatic,174.5,4WD,15.04,2017
2021 Maruti Vitara Brezza ZXI,Maruti Vitara,https://www.cardekho.com/buy-used-car-details/used-Maruti-vitara-brezza-zxi-cars-Chandigarh_396d08c4-556e-439f-a352-4d9a94acab16.htm,7.91,"Industrial Area Phase 1, Chandigarh",Chandigarh,Aug 2021,Expired,Petrol,5,58436,Chandigarh,First Owner,1462,Manual,103.26,FWD,17.03,2021
2019 Tata Nexon 1.2 Revotron XM,Tata Nexon,https://www.cardekho.com/buy-used-car-details/used-Tata-nexon-12-revotron-xm-cars-Chandigarh_9d72298e-5e18-45a2-8b5c-733bfeacf3d3.htm,5.7,"Industrial Area Phase 1, Chandigarh",Chandigarh,Jun 2019,Zero Dep,Petrol,5,56627,Chandigarh,First Owner,1198,Manual,108.5,FWD,17.0,2019
2019 Mahindra Thar CRDe,Mahindra Thar,https://www.cardekho.com/buy-used-car-details/used-Mahindra-thar-crde-cars-Chandigarh_523f9065-acb5-4624-bc13-eed28ad5b10b.htm,6.8,"Industrial Area Phase 1, Chandigarh",Chandigarh,Sept 2019,Expired,Diesel,6,32344,Mohali,First Owner,2498,Manual,105.0,4WD,16.55,2019
2016 Toyota Innova Crysta 2.4 G MT 8S BSIV,Toyota Innova,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-g-mt-8s-bsiv-cars-Chandigarh_16f1f338-c954-4884-8e49-e5030450b759.htm?adId=undefined&adType=41,11.05,Chandigarh,Chandigarh,2016,Expired,Diesel,8,185000,Chandigarh,First Owner,2393,Manual,147.8,N/A,N/A,2016
2017 Maruti Vitara Brezza VDi Option,Maruti Vitara,https://www.cardekho.com/buy-used-car-details/used-Maruti-vitara-brezza-vdi-option-cars-Chandigarh_e2ddd4be-f0b7-43e7-89d1-c55702fd55ff.htm,5.5,"Industrial Area Phase 1, Chandigarh",Chandigarh,Aug 2017,Expired,Diesel,5,62096,Ludhiana,First Owner,1248,Manual,88.5,FWD,24.3,2017
2016 Maruti Vitara Brezza ZDi Plus,Maruti Vitara,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zdi-plus-cars-Chandigarh_faadae1a-217b-457b-a772-ebcffe934157.htm,6.35,"Sector 46, Chandigarh",Chandigarh,Oct 2016,Expired,Diesel,5,199000,Chandigarh,First Owner,1248,Manual,88.5,FWD,24.3,2016
